TEMPS;THROTTLE;YAW;PITCH;TRIM
115;0;62;63;63
165;0;62;63;63
216;0;62;63;63
267;0;62;63;63
317;0;62;63;63
367;0;63;63;63
417;0;63;63;63
467;0;63;63;63
517;0;63;63;63
568;0;62;63;63
619;0;62;63;63
669;0;62;63;63
720;0;62;63;63
769;0;62;63;63
819;0;62;63;63
869;0;62;63;63
919;0;62;63;63
969;0;62;63;63
1019;0;62;63;63
1069;0;62;63;63
1119;0;62;63;63
1169;0;62;63;63
1219;0;62;63;63
1270;0;63;63;63
1321;0;62;63;63
1371;0;62;63;63
1421;0;62;63;63
1471;0;62;63;63
1522;0;62;63;63
1573;0;62;63;63
1623;0;62;63;63
1673;0;63;63;63
1723;0;63;63;63
1773;0;63;63;63
1823;0;62;63;63
1873;0;62;63;63
1923;0;62;63;63
1973;0;62;63;63
2023;0;62;63;63
2073;0;62;63;63
2123;0;63;63;63
2173;0;63;63;63
2223;0;63;63;63
2273;0;62;63;63
2327;0;62;63;63
2377;0;62;63;63
2429;0;62;63;63
2479;0;62;63;63
2529;0;63;63;63
2579;0;63;63;63
2629;0;63;63;63
2679;0;63;63;63
2729;0;62;63;63
2779;0;62;63;63
2829;0;62;63;63
2879;0;62;63;63
2930;0;62;63;63
2981;0;63;63;63
3031;0;63;63;63
3081;0;62;63;63
3131;0;62;63;63
3181;0;62;63;63
3231;0;62;63;63
3281;0;62;63;63
3331;0;62;63;63
3381;0;62;63;63
3433;0;63;63;63
3485;0;63;63;63
3535;0;62;63;63
3585;0;62;63;63
3635;0;62;63;63
3685;0;62;63;63
3735;0;62;63;63
3785;0;63;63;63
3835;0;63;63;63
3885;0;63;63;63
3935;0;62;63;63
3985;0;62;63;63
4035;0;62;63;63
4085;0;62;63;63
4135;0;63;63;63
4185;0;62;63;63
4235;0;62;63;63
4286;0;62;63;63
4337;0;62;63;63
4388;0;62;63;63
4439;0;62;63;63
4489;0;62;63;63
4539;0;62;63;63
4589;0;62;63;63
4639;0;62;63;63
4689;0;62;63;63
4739;0;63;63;63
4789;0;62;63;63
4842;0;63;63;63
4893;0;62;63;63
4943;0;62;63;63
4994;0;63;63;63
5044;0;62;63;63
5095;0;63;63;63
5145;0;63;63;63
5195;0;63;63;63
5245;0;62;63;63
5295;0;62;63;63
5345;0;62;63;63
5395;0;62;63;63
5445;0;62;63;63
5495;0;62;63;63
5545;0;63;63;63
5595;0;63;63;63
5645;0;63;63;63
5695;0;62;63;63
5745;0;62;63;63
5796;0;62;63;63
5847;0;62;63;63
5897;0;62;63;63
5947;0;62;63;63
5997;0;62;63;63
6048;0;63;63;63
6097;0;63;63;63
6147;0;62;63;63
6197;0;62;63;63
6249;0;62;63;63
6299;0;62;63;63
6349;0;62;63;63
6399;0;62;63;63
6449;0;63;63;63
6499;0;63;63;63
6549;0;63;63;63
6599;0;63;63;63
6649;0;62;63;63
6701;0;62;63;63
6752;0;62;63;63
6803;0;62;63;63
6853;1;62;63;63
6903;3;63;63;63
6953;8;63;63;63
7004;14;62;63;63
7054;19;62;63;63
7103;25;62;63;63
7155;30;62;63;63
7205;36;62;63;63
7255;40;62;63;63
7305;40;63;63;63
7355;40;63;63;63
7405;40;62;63;63
7455;40;63;63;63
7505;40;62;63;63
7555;40;63;63;63
7605;39;62;63;63
7655;39;62;63;63
7706;39;62;63;63
7756;39;62;63;63
7805;39;62;63;63
7855;39;62;63;63
7905;39;62;63;63
7955;40;62;63;63
8005;42;62;63;63
8055;46;62;63;63
8105;52;63;63;63
8155;54;62;63;63
8205;54;62;63;63
8255;54;62;63;63
8306;54;62;63;63
8357;54;62;63;63
8407;54;62;63;63
8460;54;62;63;63
8511;54;62;63;63
8561;54;63;63;63
8611;54;63;63;63
8661;54;62;63;63
8711;55;63;63;63
8761;57;62;63;63
8811;59;62;63;63
8861;67;62;63;63
8911;80;62;63;63
8961;87;62;63;63
9011;87;63;63;63
9062;87;63;63;63
9112;86;62;63;63
9165;86;62;63;63
9215;86;62;63;63
9265;86;62;63;63
9315;86;62;63;63
9365;86;62;63;63
9415;86;63;63;63
9465;86;62;63;63
9516;84;63;63;63
9566;74;62;63;63
9617;67;62;63;63
9667;67;62;63;63
9717;67;62;63;63
9767;67;62;63;63
9817;67;62;63;63
9867;67;63;63;63
9918;67;63;63;63
9967;66;63;63;63
10017;66;62;63;63
10068;66;62;63;63
10117;66;62;63;63
10167;66;62;63;63
10217;66;62;63;63
10267;72;63;63;63
10317;80;63;63;63
10367;81;63;63;63
10417;81;62;63;63
10469;81;62;63;63
