temps_ms;cx;cy;amplada;alcada
1570;;;;
1801;;;;
1905;;;;
2008;;;;
2113;;;;
2221;;;;
2323;;;;
2425;;;;
2526;;;;
2629;;;;
2736;;;;
2849;;;;
2952;;;;
3051;;;;
3147;417;197;26;61
3244;418;196;28;60
3388;419;198;33;61
3489;417;196;34;59
3591;418;199;34;65
3701;;;;
3808;;;;
3998;;;;
4120;421;198;34;63
4234;;;;
4375;;;;
4522;;;;
4651;;;;
4807;421;198;24;57
4958;419;197;31;61
5092;;;;
5211;419;197;29;58
5348;419;199;30;62
5454;;;;
5560;;;;
5664;;;;
5768;;;;
5886;324;186;44;100
6002;;;;
6117;;;;
6220;;;;
6325;437;202;104;151
6430;116;440;74;68
6540;;;;
6637;;;;
6741;435;204;95;156
6846;435;190;88;133
7049;439;189;81;132
7158;;;;
7258;;;;
7363;;;;
7467;;;;
7578;;;;
7675;;;;
7780;;;;
7874;;;;
7976;;;;
8078;445;186;93;117
8175;442;204;105;154
8275;437;205;93;151
8378;443;205;100;151
8489;443;195;90;130
8628;428;197;52;91
8724;;;;
8823;;;;
8927;440;187;79;111
9026;427;202;46;76
9122;444;183;88;111
9224;;;;
9329;;;;
9435;;;;
9542;;;;
9642;;;;
9739;457;193;129;129
9841;;;;
9939;460;194;128;126
10035;460;195;128;133
10212;;;;
10309;;;;
10411;;;;
10512;459;193;128;129
10613;458;198;127;136
10713;312;187;67;106
10811;458;191;124;125
10911;;;;
11015;313;203;70;139
11110;457;193;128;128
11203;458;194;128;133
11304;;;;
11405;314;202;68;140
11507;458;194;128;132
11611;457;199;130;142
11739;458;196;127;135
11838;;;;
11940;323;203;48;130
12037;460;193;126;128
12139;;;;
12243;;;;
12340;;;;
12433;;;;
12529;314;204;68;137
12619;;;;
12722;459;194;126;128
12823;;;;
12922;457;193;125;128
13021;314;202;67;140
13121;460;192;122;125
13250;316;203;66;142
13346;460;191;123;127
13449;456;196;134;133
13552;;;;
13657;457;192;129;127
13765;457;193;128;126
13874;;;;
13972;458;194;127;130
14074;;;;
14172;312;421;20;37
14267;313;413;21;47
14367;314;399;19;49
14463;317;389;18;51
14560;322;361;24;52
14654;324;352;21;47
14847;330;334;20;49
14960;459;191;124;123
15061;351;280;17;35
15160;460;193;124;126
15256;460;192;122;125
15355;461;193;123;127
15464;454;192;134;126
15571;453;193;138;130
15671;453;192;134;130
15766;453;191;133;126
15869;457;189;129;122
15966;436;186;76;113
16057;458;193;117;126
16150;459;191;122;125
16250;424;207;41;62
16425;459;193;124;131
16529;457;196;127;137
16628;456;200;133;147
16720;413;239;42;56
16822;407;247;38;40
16919;452;199;142;140
17021;459;191;123;125
17115;461;194;122;124
17208;460;192;124;124
17313;373;266;24;34
17419;;;;
17521;313;186;64;103
17624;459;193;127;132
17723;457;193;120;128
17827;;;;
17955;458;190;127;125
18054;459;195;126;131
18158;458;196;126;138
18259;461;193;126;133
18354;;;;
18452;;;;
18552;460;194;124;130
18652;375;245;26;39
18747;;;;
18864;453;195;138;132
18973;448;191;147;126
19075;451;198;140;140
19174;451;192;142;129
19270;451;192;140;130
19366;452;190;138;125
19489;436;191;109;120
19591;451;193;140;129
19689;451;190;140;124
19786;448;191;146;126
19891;449;194;145;132
19994;459;192;126;129
20089;459;191;126;124
20188;459;190;123;122
20289;461;190;122;126
20386;461;190;121;125
20489;460;194;120;133
20594;;;;
20692;459;194;124;133
20793;458;195;125;132
20891;460;192;127;125
21071;460;191;124;127
21175;;;;
21273;458;194;127;132
21373;460;192;126;130
21475;459;192;125;128
21571;461;193;126;128
21675;;;;
21772;457;194;131;130
21865;;;;
21967;;;;
22067;;;;
22164;;;;
22263;458;191;128;125
22363;;;;
22464;;;;
22629;459;192;127;126
22732;460;191;121;126
22830;460;190;124;127
22924;459;193;122;128
23021;459;192;123;129
23119;;;;
23210;457;193;132;130
23307;460;191;126;124
23412;461;191;130;129
23524;457;193;126;133
23622;458;192;127;130
23717;458;192;127;128
23815;459;192;124;128
23918;460;194;124;132
24012;459;197;127;138
24158;458;193;128;129
24254;;;;
24351;457;194;129;132
24450;458;193;127;131
24550;458;199;128;142
24652;459;193;127;129
24752;459;194;124;134
24846;459;195;126;137
24945;458;192;127;128
25046;457;194;130;133
25144;455;193;133;130
25257;456;194;129;133
25356;458;196;125;136
25464;459;191;125;126
25566;457;193;128;128
25703;459;193;126;130
25802;459;193;127;129
25904;459;192;124;127
26004;460;191;125;128
26109;460;189;125;123
26210;459;191;124;127
26332;;;;
26476;460;189;119;126
26588;451;189;128;122
26702;459;187;124;131
26834;435;183;93;110
27011;;;;
27182;;;;
27341;;;;
27491;459;191;125;129
27693;456;182;129;121
27796;327;218;75;169
27910;443;185;92;111
28015;327;223;77;171
28125;;;;
28230;;;;
28345;;;;
28456;;;;
28565;;;;
28690;457;195;127;140
28803;;;;
28913;456;198;130;149
29018;;;;
29120;;;;
29224;;;;
29401;450;186;109;117
29507;;;;
29604;456;199;129;146
29709;454;198;133;143
29810;;;;
