temps_ms;cx;cy;amplada;alcada;ratio
260;;;;;0
443;;;;;0
549;;;;;0
645;;;;;0
740;334;369;21;38;2,921
840;333;369;21;38;2,921
941;;;;;0
1038;;;;;0
1132;334;368;22;39;2,872
1224;333;368;19;37;3,027
1314;333;368;21;37;3,027
1416;333;369;20;36;3,083
1522;;;;;0
1618;;;;;0
1708;;;;;0
1800;333;368;22;38;2,947
1893;;;;;0
1973;;;;;0
2066;;;;;0
2156;;;;;0
2241;;;;;0
2336;;;;;0
2428;329;365;27;37;3,108
2520;;;;;0
2602;;;;;0
2690;;;;;0
2780;;;;;0
2872;;;;;0
2960;;;;;0
3050;;;;;0
3135;;;;;0
3226;;;;;0
3312;;;;;0
3402;;;;;0
3495;266;298;15;33;5,515
3584;264;297;15;33;5,545
3676;256;293;20;31;6,032
3763;;;;;0
3855;244;291;19;34;5,559
3939;236;291;19;33;5,727
4031;237;292;20;34;5,529
4121;232;294;23;35;5,314
4211;231;299;26;36;5,028
4297;226;303;27;37;4,784
4387;227;308;22;34;5,059
4471;225;316;23;35;4,686
4563;223;325;25;34;4,559
4654;224;331;25;35;4,257
4739;225;342;21;36;3,833
4828;224;348;27;35;3,771
4918;227;360;27;38;3,158
5000;230;368;30;37;3,027
5091;232;379;34;37;2,730
5175;233;383;34;38;2,553
5269;236;388;28;39;2,359
5359;242;399;29;37;2,189
5451;246;400;36;37;2,162
5541;248;402;35;37;2,108
5637;253;405;33;36;2,083
5730;254;405;34;38;1,974
5823;258;404;32;36;2,111
5910;262;402;37;37;2,108
5998;264;400;36;38;2,105
6091;270;393;37;41;2,122
6185;269;390;41;42;2,143
6278;275;384;31;36;2,667
6376;275;376;29;35;2,971
6474;284;370;27;42;2,619
6569;284;368;29;51;2,196
6657;284;361;28;54;2,204
6744;276;344;33;41;3,317
6834;277;338;31;39;3,641
6927;276;330;35;40;3,750
7014;276;319;31;39;4,128
7098;275;310;28;39;4,359
7188;276;303;30;38;4,658
7273;278;292;26;37;5,081
7371;277;282;26;40;4,950
7464;277;279;26;39;5,154
7558;275;273;27;42;4,929
7644;274;265;23;41;5,244
7734;273;258;23;45;4,933
7822;273;255;23;39;5,769
7908;271;251;21;37;6,189
7999;269;246;20;43;5,442
8090;267;241;19;39;6,128
8179;264;237;24;43;5,651
8268;262;235;27;42;5,833
8361;259;233;24;41;6,024
8456;256;233;26;43;5,744
8543;253;234;26;44;5,591
8634;246;232;27;45;5,511
8726;240;233;25;44;5,614
8825;237;231;23;47;5,298
8915;227;234;22;45;5,467
9007;224;236;23;47;5,191
9099;215;238;26;49;4,939
9187;210;239;24;49;4,918
9275;204;244;24;45;5,244
9366;196;248;26;48;4,833
9459;191;251;25;50;4,580
9548;185;255;26;49;4,592
9642;179;258;25;48;4,625
9734;175;261;26;47;4,660
9824;168;263;29;48;4,521
9918;164;269;32;48;4,396
10012;160;270;34;47;4,468
10109;156;275;30;49;4,184
10201;152;281;35;48;4,146
10289;150;284;38;46;4,261
10372;149;286;41;49;3,959
10466;149;291;41;48;3,938
10557;152;296;41;48;3,833
10643;154;299;40;45;4,022
10737;157;301;44;50;3,580
10832;159;303;45;50;3,540
10924;162;305;46;49;3,571
11008;166;308;47;50;3,440
11096;171;311;46;53;3,189
11186;173;311;47;52;3,250
11276;178;313;53;53;3,151
11373;185;313;52;52;3,212
11464;191;313;55;55;3,036
11559;194;311;53;59;2,864
11643;198;310;57;56;3,036
11737;202;308;56;54;3,185
11825;207;305;57;57;3,070
11907;211;302;58;55;3,236
11996;214;300;57;55;3,273
12092;217;296;57;61;3,016
12176;220;290;55;59;3,220
12271;219;285;60;58;3,362
12362;220;279;59;58;3,466
12456;221;275;56;59;3,475
12545;222;269;56;61;3,459
12633;222;264;60;58;3,724
12724;221;259;58;58;3,810
12812;218;255;62;63;3,571
12910;216;248;64;70;3,314
13001;216;242;62;62;3,839
13095;214;239;66;64;3,766
13181;213;235;61;66;3,712
13266;210;231;67;68;3,662
13357;212;228;65;70;3,600
13441;210;224;64;70;3,657
13536;208;218;61;71;3,690
13630;209;218;60;68;3,853
13718;210;213;60;71;3,761
13802;210;210;63;74;3,649
13900;212;206;61;71;3,859
13993;214;205;63;73;3,767
14078;216;205;64;72;3,819
14169;219;199;61;80;3,513
14264;224;198;65;79;3,570
14353;226;197;64;76;3,724
14439;229;197;66;80;3,538
14532;236;195;68;78;3,654
14627;239;195;69;77;3,701
14714;243;194;71;81;3,531
14802;250;194;72;79;3,620
14894;252;193;72;80;3,587
14982;258;190;72;84;3,452
15070;263;187;72;81;3,617
15162;267;181;71;87;3,437
15257;269;180;76;87;3,448
15345;272;174;76;81;3,778
15440;273;168;74;85;3,671
15530;273;162;76;91;3,495
15624;272;157;77;90;3,589
15715;270;148;79;94;3,532
15807;268;143;84;114;2,956
15897;265;131;79;124;2,815
15992;260;119;75;132;2,735
16086;254;113;68;132;2,780
16173;240;105;65;141;2,660
16261;224;95;68;143;2,692
16357;201;92;69;154;2,519
16443;183;97;70;148;2,588
16538;135;116;84;149;2,443
16631;124;119;84;150;2,407
16719;103;143;46;142;2,373
16803;;;;;0
16896;;;;;0
16992;;;;;0
17087;;;;;0
17177;;;;;0
17273;;;;;0
17365;;;;;0
17458;;;;;0
17543;;;;;0
17637;;;;;0
17726;;;;;0
17817;;;;;0
17901;;;;;0
17989;;;;;0
18075;;;;;0
18170;;;;;0
18261;;;;;0
18353;;;;;0
18436;;;;;0
18530;;;;;0
18622;;;;;0
18707;;;;;0
18805;;;;;0
18897;;;;;0
18989;;;;;0
19075;;;;;0
19166;;;;;0
19262;;;;;0
19356;;;;;0
19444;;;;;0
19534;;;;;0
19624;;;;;0
19708;;;;;0
19801;;;;;0
19890;;;;;0
19976;;;;;0
20078;;;;;0
20170;;;;;0
20265;;;;;0
20353;;;;;0
20439;;;;;0
20533;;;;;0
20628;;;;;0
20723;;;;;0
20809;;;;;0
20900;;;;;0
20992;;;;;0
21078;;;;;0
21170;;;;;0
21262;;;;;0
21347;;;;;0
