temps_ms;throttle;yaw;pitch;trim;estat;active_cam
65;36;64;64;63;0;0
106;36;64;64;63;0;0
172;38;64;64;63;0;0
214;38;64;64;63;0;0
254;39;64;64;63;0;0
296;40;64;64;63;0;0
338;41;64;64;63;0;0
384;41;64;64;63;0;0
430;42;64;64;63;0;0
472;43;64;64;63;0;0
520;44;64;64;63;0;0
561;45;64;64;63;0;0
604;45;64;64;63;0;0
647;46;64;64;63;0;0
688;47;64;64;63;0;0
734;48;64;64;63;0;0
777;49;64;64;63;0;0
820;49;64;64;63;0;0
864;50;64;64;63;0;0
907;51;64;64;63;0;0
949;52;64;64;63;0;0
990;52;64;64;63;0;0
1033;53;64;64;63;0;0
1080;54;64;64;63;0;0
1122;55;64;64;63;0;0
1168;56;64;64;63;0;0
1213;56;64;64;63;0;0
1254;57;64;64;63;0;0
1295;58;64;64;63;0;0
1340;59;64;64;63;0;0
1387;59;64;64;63;0;0
1430;60;64;64;63;0;0
1474;61;64;64;63;0;0
1520;62;64;64;63;1;0
1564;75;64;64;63;1;0
1608;75;64;64;63;1;0
1654;75;64;64;63;1;0
1696;74;64;64;63;1;0
1739;74;64;64;63;1;0
1780;74;64;64;63;1;0
1823;74;64;64;63;1;0
1867;74;64;64;63;1;0
1908;74;84;64;63;1;0
1950;74;84;64;63;1;0
1997;74;84;64;63;1;0
2038;74;84;64;63;1;0
2078;74;64;64;63;1;0
2119;74;64;64;63;1;0
2160;73;64;64;63;1;0
2203;73;64;64;63;1;0
2244;72;64;64;63;1;0
2285;72;64;64;63;1;0
2331;72;64;64;63;1;0
2375;71;84;64;63;1;0
2419;71;84;64;63;1;0
2465;70;84;64;63;1;0
2505;70;84;64;63;1;0
2549;69;84;64;63;1;0
2592;69;64;64;63;1;0
2634;69;64;64;63;1;0
2676;69;64;64;63;1;0
2721;67;64;64;63;1;0
2762;67;64;64;63;1;0
2803;65;64;64;63;1;0
2847;65;64;64;63;1;0
2892;64;84;64;63;1;0
2933;64;84;64;63;1;0
2973;63;84;64;63;1;0
3017;63;84;64;63;1;0
3060;62;84;64;63;1;0
3102;62;64;64;63;1;0
3147;61;64;64;63;1;0
3192;61;64;64;63;1;0
3234;61;64;64;63;1;0
3280;61;64;64;63;1;0
3321;61;64;64;63;1;0
3367;61;64;64;63;1;0
3411;61;84;64;63;1;0
3452;61;84;64;63;1;0
3497;61;84;64;63;1;0
3540;61;84;64;63;1;0
3584;61;64;64;63;1;0
3626;62;64;64;63;1;0
3670;62;64;64;63;1;0
3715;61;64;64;63;1;0
3760;61;64;64;63;1;0
3805;61;64;64;63;1;0
3850;60;64;64;63;1;0
3892;60;84;64;63;1;0
3934;60;84;64;63;1;0
3977;60;84;64;63;1;0
4019;59;84;64;63;1;0
4059;59;84;64;63;1;0
4103;59;64;64;63;1;0
4144;59;64;64;63;1;0
4187;59;64;64;63;1;0
4229;59;64;64;63;1;0
4270;59;64;64;63;1;0
4328;66;64;64;63;1;1
4373;67;64;64;63;1;1
4417;67;84;64;63;1;1
4461;67;64;64;63;1;1
4502;69;64;64;63;1;1
4546;69;64;64;63;1;1
4590;69;64;64;63;1;1
4635;69;64;64;63;1;1
4678;69;64;64;63;1;1
4722;69;64;64;63;1;1
4764;69;44;64;63;1;1
4805;68;44;64;63;1;1
4846;68;44;64;63;1;1
4886;77;44;64;63;1;1
4927;77;44;64;63;1;1
4968;74;64;64;63;1;1
5011;74;64;64;63;1;1
5056;74;64;64;63;1;1
5100;74;64;64;63;1;1
5146;74;64;64;63;1;1
5189;74;64;64;63;1;1
5233;74;64;64;63;1;1
5275;74;44;64;63;1;1
5318;74;44;64;63;1;1
5362;74;44;64;63;1;1
5404;74;44;64;63;1;1
5445;74;44;64;63;1;1
5489;74;64;64;63;1;1
5533;74;64;64;63;1;1
5574;74;64;64;63;1;1
5619;74;64;64;63;1;1
5662;74;64;64;63;1;1
5707;74;64;64;63;1;1
5750;74;64;64;63;1;1
5794;75;44;64;63;1;1
5840;75;44;64;63;1;1
5885;71;44;64;63;1;1
5930;71;44;64;63;1;1
5974;71;64;64;63;1;1
6019;71;64;64;63;1;1
6059;71;64;64;63;1;1
6104;72;64;64;63;1;1
6147;72;64;64;63;1;1
6191;70;64;64;63;1;1
6238;70;64;64;63;1;1
6285;67;44;64;63;1;1
6325;67;44;64;63;1;1
6366;71;44;64;63;1;1
6413;71;44;64;63;1;1
6456;69;44;64;63;1;1
6502;69;64;64;63;1;1
6548;68;64;64;63;1;1
6594;68;64;64;63;1;1
6636;68;64;64;63;1;1
6678;67;64;64;63;1;1
6719;67;64;64;63;1;1
6762;68;64;64;63;1;1
6808;68;64;64;63;1;1
6852;67;64;64;63;1;1
6896;67;64;64;63;1;1
6937;67;44;64;63;1;1
6977;67;44;64;63;1;1
7020;67;44;64;63;1;1
7066;67;44;64;63;1;1
7109;67;64;64;63;1;1
7154;67;64;64;63;1;1
7200;67;64;64;63;1;1
7244;67;64;64;63;1;1
7289;67;64;64;63;1;1
7332;66;64;64;63;1;1
7378;66;64;64;63;1;1
7421;66;44;64;63;1;1
7461;66;44;64;63;1;1
7506;64;44;64;63;1;1
7548;64;44;64;63;1;1
7591;65;64;64;63;1;1
7636;65;64;64;63;1;1
