temps_ms;throttle;yaw;pitch;trim;estat;active_cam
57;36;64;64;63;0;0
98;36;64;64;63;0;0
140;37;64;64;63;0;0
230;39;64;64;63;0;0
274;39;64;64;63;0;0
315;40;64;64;63;0;0
360;41;64;64;63;0;0
403;42;64;64;63;0;0
448;43;64;64;63;0;0
494;43;64;64;63;0;0
538;44;64;64;63;0;0
581;45;64;64;63;0;0
623;46;64;64;63;0;0
669;47;64;64;63;0;0
709;47;64;64;63;0;0
751;48;64;64;63;0;0
798;49;64;64;63;0;0
842;50;64;64;63;0;0
883;50;64;64;63;0;0
925;51;64;64;63;0;0
970;52;64;64;63;0;0
1014;53;64;64;63;0;0
1054;54;64;64;63;0;0
1097;54;64;64;63;0;0
1137;55;64;64;63;0;0
1177;56;64;64;63;0;0
1219;56;64;64;63;0;0
1264;57;64;64;63;0;0
1306;58;64;64;63;0;0
1348;59;64;64;63;0;0
1390;60;64;64;63;0;0
1435;60;64;64;63;0;0
1482;61;64;64;63;0;0
1531;62;64;64;63;1;0
1574;75;64;64;63;1;0
1615;75;64;64;63;1;0
1658;75;64;64;63;1;0
1701;75;64;64;63;1;0
1742;75;64;64;63;1;0
1784;75;64;64;63;1;0
1826;75;64;64;63;1;0
1871;75;64;64;63;1;0
1913;75;64;64;63;1;0
1955;75;64;64;63;1;0
1997;75;64;64;63;1;0
2039;75;64;64;63;1;0
2080;74;64;64;63;1;0
2120;74;64;64;63;1;0
2166;74;64;64;63;1;0
2207;74;64;64;63;1;0
2250;73;64;64;63;1;0
2292;73;64;64;63;1;0
2335;73;64;64;63;1;0
2380;72;64;64;63;1;0
2421;72;64;64;63;1;0
2464;73;64;64;63;1;0
2508;73;64;64;63;1;0
2554;71;84;64;63;1;0
2598;71;84;64;63;1;0
2640;70;84;64;63;1;0
2680;70;84;64;63;1;0
2724;69;84;64;63;1;0
2767;69;64;64;63;1;0
2808;69;64;64;63;1;0
2851;68;64;64;63;1;0
2895;68;64;64;63;1;0
2940;66;64;64;63;1;0
2984;66;64;64;63;1;0
3027;66;64;64;63;1;0
3069;66;84;64;63;1;0
3114;64;84;64;63;1;0
3156;64;84;64;63;1;0
3201;64;84;64;63;1;0
3242;64;84;64;63;1;0
3286;64;64;64;63;1;0
3326;63;64;64;63;1;0
3370;63;64;64;63;1;0
3412;62;64;64;63;1;0
3452;62;64;64;63;1;0
3494;62;64;64;63;1;0
3537;62;64;64;63;1;0
3578;62;84;64;63;1;0
3620;61;84;64;63;1;0
3663;61;84;64;63;1;0
3707;62;84;64;63;1;0
3753;62;84;64;63;1;0
3797;62;64;64;63;1;0
3837;62;64;64;63;1;0
3882;61;64;64;63;1;0
3928;61;64;64;63;1;0
3974;60;64;64;63;1;0
4018;60;64;64;63;1;0
4060;60;64;64;63;1;0
4101;60;84;64;63;1;0
4145;60;84;64;63;1;0
4186;60;84;64;63;1;0
4230;61;84;64;63;1;0
4276;61;64;64;63;1;0
4331;65;64;64;63;1;1
4377;66;64;64;63;1;1
4417;66;64;64;63;1;1
4463;67;64;64;63;1;1
4506;67;64;64;63;1;1
4549;67;64;64;63;1;1
4591;67;44;64;63;1;1
4640;68;44;64;63;1;1
4683;68;44;64;63;1;1
4723;67;44;64;63;1;1
4769;67;44;64;63;1;1
4811;76;64;64;63;1;1
4852;76;64;64;63;1;1
4895;75;64;64;63;1;1
4936;75;64;64;63;1;1
4977;75;64;64;63;1;1
5021;75;64;64;63;1;1
5063;75;64;64;63;1;1
5109;75;44;64;63;1;1
5151;75;44;64;63;1;1
5196;75;44;64;63;1;1
5237;75;44;64;63;1;1
5281;75;44;64;63;1;1
5324;75;64;64;63;1;1
5366;75;64;64;63;1;1
5409;75;64;64;63;1;1
5455;75;64;64;63;1;1
5497;75;64;64;63;1;1
5542;75;64;64;63;1;1
5588;75;64;64;63;1;1
5631;75;44;64;63;1;1
5674;75;44;64;63;1;1
5716;75;44;64;63;1;1
5760;75;44;64;63;1;1
5803;75;44;64;63;1;1
5845;75;64;64;63;1;1
5887;75;64;64;63;1;1
5929;74;64;64;63;1;1
5971;74;64;64;63;1;1
6013;74;64;64;63;1;1
6057;74;64;64;63;1;1
6101;74;64;64;63;1;1
6142;74;44;64;63;1;1
6186;74;44;64;63;1;1
6227;74;64;64;63;1;1
6271;74;64;64;63;1;1
6314;74;64;64;63;1;1
6360;74;64;64;63;1;1
6402;74;64;64;63;1;1
6443;74;64;64;63;1;1
6488;75;64;64;63;1;1
6530;75;64;64;63;1;1
6574;73;64;64;63;1;1
6619;73;64;64;63;1;1
6664;75;64;64;63;1;1
6709;75;64;64;63;1;1
6751;73;64;64;63;1;1
6793;73;64;64;63;1;1
6837;71;64;64;63;1;1
6880;71;64;64;63;1;1
6920;71;64;64;63;1;1
6962;70;64;64;63;1;1
7007;70;64;64;63;1;1
7050;70;64;64;63;1;1
7092;70;64;64;63;1;1
7135;70;64;64;63;1;1
7177;70;64;64;63;1;1
7221;70;64;64;63;1;1
7263;71;64;64;63;1;1
7304;71;64;64;63;1;1
7348;70;64;64;63;1;1
7394;70;64;64;63;1;1
7440;68;64;64;63;1;1
7486;68;64;64;63;1;1
7531;70;64;64;63;1;1
7574;70;64;64;63;1;1
7615;69;64;64;63;1;1
7660;69;64;64;63;1;1
7701;69;64;64;63;1;1
7742;68;64;64;63;1;1
7786;68;64;64;63;1;1
7831;69;64;64;63;1;1
7872;69;64;64;63;1;1
7916;69;64;64;63;1;1
7958;68;64;64;63;1;1
8004;68;64;64;63;1;1
8045;68;64;64;63;1;1
8087;68;64;64;63;1;1
8132;69;64;64;63;1;1
8178;69;64;64;63;1;1
8221;69;64;64;63;1;1
8263;69;64;64;63;1;1
8304;67;64;64;63;1;1
8349;67;64;64;63;1;1
8392;68;64;64;63;1;1
8437;68;64;64;63;1;1
8482;68;64;64;63;1;1
8527;70;64;64;63;1;1
8568;70;64;64;63;1;1
8613;70;64;64;63;1;1
8658;70;64;64;63;1;1
8700;70;64;64;63;1;1
8743;70;64;64;63;1;1
8788;70;64;64;63;1;1
8841;70;64;64;63;1;1
8885;70;64;64;63;1;1
8930;70;64;64;63;1;1
8975;71;64;64;63;1;1
9018;71;64;64;63;1;1
9060;71;64;64;63;1;1
9102;71;64;64;63;1;1
9147;71;64;64;63;1;1
9189;71;64;64;63;1;1
9231;70;84;64;63;1;1
9275;70;84;64;63;1;1
9318;70;84;64;63;1;1
9359;74;64;64;63;1;1
9402;74;64;64;63;1;1
9447;74;64;64;63;1;1
9492;74;64;64;63;1;1
9533;78;64;64;63;1;1
9574;78;64;64;63;1;1
9615;76;64;64;63;1;1
9659;76;64;64;63;1;1
9700;74;84;64;63;1;1
9743;74;84;64;63;1;1
9785;74;84;64;63;1;1
9828;74;84;64;63;1;1
9873;74;64;64;63;1;1
9916;75;64;64;63;1;1
9961;75;64;64;63;1;1
10006;75;64;64;63;1;1
10052;75;64;64;63;1;1
10099;75;64;64;63;1;1
10142;75;84;64;63;1;1
10184;75;84;64;63;1;1
10226;75;84;64;63;1;1
10268;75;84;64;63;1;1
10313;75;84;64;63;1;1
10359;75;64;64;63;1;1
10404;75;64;64;63;1;1
10449;75;64;64;63;1;1
10493;75;64;64;63;1;1
10539;75;64;64;63;1;1
10585;74;64;64;63;1;1
10629;74;64;64;63;1;1
10674;74;84;64;63;1;1
10719;74;84;64;63;1;1
10763;75;84;64;63;1;1
10806;75;84;64;63;1;1
10852;75;84;64;63;1;1
10896;75;64;64;63;1;1
10939;74;64;64;63;1;1
10985;74;64;64;63;1;1
11029;74;64;64;63;1;1
11070;74;64;64;63;1;1
11114;75;64;64;63;1;1
11158;75;64;64;63;1;1
11200;74;84;64;63;1;1
11246;74;84;64;63;1;1
11289;75;84;64;63;1;1
11333;75;84;64;63;1;1
11374;74;64;64;63;1;1
11418;74;64;64;63;1;1
11465;75;64;64;63;1;1
11507;75;64;64;63;1;1
11555;75;64;64;63;1;1
11603;74;64;64;63;1;1
11649;74;64;64;63;1;1
11690;74;84;64;63;1;1
11734;74;84;64;63;1;1
11776;74;64;64;63;1;1
11817;74;64;64;63;1;1
11858;74;64;64;63;1;1
11902;73;64;64;63;1;1
11943;73;64;64;63;1;1
11989;73;64;64;63;1;1
12035;73;64;64;63;1;1
12079;72;84;64;63;1;1
12126;72;64;64;63;1;1
12169;72;64;64;63;1;1
12211;73;64;64;63;1;1
12252;73;64;64;63;1;1
12297;73;64;64;63;1;1
12339;73;64;64;63;1;1
12380;74;64;64;63;1;1
12425;74;64;64;63;1;1
12466;75;64;64;63;1;1
12512;75;64;64;63;1;1
12555;75;64;64;63;1;1
12599;74;64;64;63;1;1
12639;74;64;64;63;1;1
12684;74;64;64;63;1;1
12730;74;64;64;63;1;1
12775;72;64;64;63;1;1
12820;72;64;64;63;1;1
12865;73;64;64;63;1;1
12905;73;64;64;63;1;1
12950;72;64;64;63;1;1
12992;72;64;64;63;1;1
13036;72;84;64;63;1;1
13081;72;64;64;63;1;1
13126;72;64;64;63;1;1
13168;73;64;64;63;1;1
13209;73;64;64;63;1;1
13255;73;64;64;63;1;1
13302;73;64;64;63;1;1
13344;73;64;64;63;1;1
13391;73;64;64;63;1;1
13433;73;64;64;63;1;1
13479;73;64;64;63;1;1
13524;72;64;64;63;1;1
13566;72;64;64;63;1;1
13608;72;64;64;63;1;1
13654;71;64;64;63;1;1
13695;71;64;64;63;1;1
13735;72;64;64;63;1;1
13779;72;64;64;63;1;1
13823;72;64;64;63;1;1
13866;72;64;64;63;1;1
13910;72;64;64;63;1;1
13950;72;64;64;63;1;1
13990;72;64;64;63;1;1
14032;72;64;64;63;1;1
14078;72;64;64;63;1;1
14118;72;64;64;63;1;1
14164;72;64;64;63;1;1
14211;73;64;64;63;1;1
14257;73;64;64;63;1;1
14301;73;64;64;63;1;1
14346;73;64;64;63;1;1
14389;73;64;64;63;1;1
14433;73;64;64;63;1;1
14478;73;64;64;63;1;1
14518;73;64;64;63;1;1
14560;73;64;64;63;1;1
14603;73;64;64;63;1;1
14652;73;64;64;63;1;1
14695;73;64;64;63;1;1
14745;73;64;64;63;1;1
14792;73;64;64;63;1;1
14839;74;64;64;63;1;1
14879;74;64;64;63;1;1
14922;74;84;64;63;1;1
14965;74;64;64;63;1;1
15008;74;64;64;63;1;1
15052;74;64;64;63;1;1
15097;74;64;64;63;1;1
15145;74;64;64;63;1;1
15190;74;64;64;63;1;1
15234;75;64;64;63;1;1
15278;75;64;64;63;1;1
15323;74;64;64;63;1;1
15364;74;64;64;63;1;1
15404;74;64;64;63;1;1
15446;74;64;64;63;1;1
15488;75;64;64;63;1;1
15534;75;64;64;63;1;1
15574;75;64;64;63;1;1
15619;75;64;64;63;1;1
15661;75;64;64;63;1;1
15704;75;64;64;63;1;1
15749;76;64;64;63;1;1
15795;76;64;64;63;1;1
15841;76;64;64;63;1;1
15882;76;64;64;63;1;1
15923;76;64;64;63;1;1
15966;76;64;64;63;1;1
16012;76;64;64;63;1;1
16052;76;64;64;63;1;1
16093;76;64;64;63;1;1
16135;77;64;64;63;1;1
16176;77;64;64;63;1;1
16222;77;64;64;63;1;1
16267;77;64;64;63;1;1
16312;77;64;64;63;1;1
16356;77;64;64;63;1;1
16400;77;64;64;63;1;1
16443;77;64;64;63;1;1
16486;77;64;64;63;1;1
16527;77;44;64;63;1;1
16572;77;44;64;63;1;1
16613;76;44;64;63;1;1
16656;76;44;64;63;1;1
16700;77;44;64;63;1;1
16744;77;64;64;63;1;1
16788;77;64;64;63;1;1
16831;77;64;64;63;1;1
16875;77;64;64;63;1;1
16919;77;64;64;63;1;1
16962;77;64;64;63;1;1
17002;77;64;64;63;1;1
17045;77;44;64;63;1;1
17086;77;44;64;63;1;1
17130;77;44;64;63;1;1
17172;77;44;64;63;1;1
17213;76;44;64;63;1;1
17253;76;64;64;63;1;1
17298;77;64;64;63;1;1
17340;77;64;64;63;1;1
17383;76;64;64;63;1;1
17429;76;64;64;63;1;1
17470;76;64;64;63;1;1
17513;76;64;64;63;1;1
17558;76;44;64;63;1;1
17600;76;44;64;63;1;1
17643;76;44;64;63;1;1
17683;76;44;64;63;1;1
17725;76;44;64;63;1;1
17770;75;64;64;63;1;1
17814;75;64;64;63;1;1
17856;75;64;64;63;1;1
17900;75;64;64;63;1;1
18029;75;64;64;63;2;1
18072;60;84;64;63;2;1
18114;60;84;64;63;2;1
18157;60;84;64;63;2;1
18200;59;64;64;63;2;1
18241;59;64;64;63;2;1
18312;59;64;64;63;3;1
18354;70;64;64;63;3;1
18398;70;64;64;63;3;1
18443;70;64;64;63;3;1
18484;70;64;64;63;3;1
18524;70;84;64;63;3;1
18567;70;84;64;63;3;1
18608;70;84;64;63;3;1
18650;70;84;64;63;3;1
18691;70;84;64;63;3;1
18734;70;64;64;63;3;1
18782;70;64;64;63;3;1
18851;70;64;64;63;4;1
18895;0;64;64;63;4;1
18940;0;64;64;63;4;1
18981;0;64;64;63;4;1
19024;0;64;64;63;4;1
19066;0;64;64;63;4;1
19108;0;64;64;63;4;1
19152;0;64;64;63;4;1
19194;0;64;64;63;4;1
19237;0;64;64;63;4;1
19282;0;64;64;63;4;1
19326;0;64;64;63;4;1
19369;0;64;64;63;4;1
19411;0;64;64;63;4;1
19454;0;64;64;63;4;1
19496;0;64;64;63;4;1
19542;0;64;64;63;4;1
19589;0;64;64;63;4;1
19630;0;64;64;63;4;1
19674;0;64;64;63;4;1
19715;0;64;64;63;4;1
19765;0;64;64;63;4;1
19811;0;64;64;63;4;1
19857;0;64;64;63;4;1
19899;0;64;64;63;4;1
19945;0;64;64;63;4;1
19988;0;64;64;63;4;1
20031;0;64;64;63;4;1
20076;0;64;64;63;4;1
20117;0;64;64;63;4;1
20162;0;64;64;63;4;1
20206;0;64;64;63;4;1
20251;0;64;64;63;4;1
20297;0;64;64;63;4;1
20342;0;64;64;63;4;1
20382;0;64;64;63;4;1
20423;0;64;64;63;4;1
20470;0;64;64;63;4;1
20513;0;64;64;63;4;1
20559;0;64;64;63;4;1
20602;0;64;64;63;4;1
20647;0;64;64;63;4;1
20692;0;64;64;63;4;1
20735;0;64;64;63;4;1
20776;0;64;64;63;4;1
20823;0;64;64;63;4;1
20865;0;64;64;63;4;1
20908;0;64;64;63;4;1
20953;0;64;64;63;4;1
20996;0;64;64;63;4;1
21042;0;64;64;63;4;1
21083;0;64;64;63;4;1
21125;0;64;64;63;4;1
21169;0;64;64;63;4;1
21210;0;64;64;63;4;1
21253;0;64;64;63;4;1
21297;0;64;64;63;4;1
21342;0;64;64;63;4;1
21384;0;64;64;63;4;1
21429;0;64;64;63;4;1
21469;0;64;64;63;4;1
21513;0;64;64;63;4;1
21556;0;64;64;63;4;1
21599;0;64;64;63;4;1
21645;0;64;64;63;4;1
21686;0;64;64;63;4;1
21732;0;64;64;63;4;1
21777;0;64;64;63;4;1
21824;0;64;64;63;4;1
21867;0;64;64;63;4;1
21908;0;64;64;63;4;1
21948;0;64;64;63;4;1
21990;0;64;64;63;4;1
22035;0;64;64;63;4;1
22076;0;64;64;63;4;1
22121;0;64;64;63;4;1
22165;0;64;64;63;4;1
22208;0;64;64;63;4;1
22249;0;64;64;63;4;1
22293;0;64;64;63;4;1
22335;0;64;64;63;4;1
22382;0;64;64;63;4;1
22436;0;64;64;63;4;1
22477;0;64;64;63;4;1
22529;0;64;64;63;4;1
22578;0;64;64;63;4;1
22626;0;64;64;63;4;1
22670;0;64;64;63;4;1
22726;0;64;64;63;4;1
22767;0;64;64;63;4;1
22810;0;64;64;63;4;1
22858;0;64;64;63;4;1
22909;0;64;64;63;4;1
22950;0;64;64;63;4;1
22998;0;64;64;63;4;1
23044;0;64;64;63;4;1
23087;0;64;64;63;4;1
23130;0;64;64;63;4;1
23264;0;64;64;63;4;1
23309;0;64;64;63;4;1
23351;0;64;64;63;4;1
23393;0;64;64;63;4;1
23439;0;64;64;63;4;1
23480;0;64;64;63;4;1
