temps_ms;cx;cy;amplada;alcada;ratio
261;;;;;0
521;;;;;0
651;332;371;17;34;3,206
771;333;367;21;40;2,825
890;333;367;20;38;2,974
993;333;368;20;37;3,027
1105;334;368;22;39;2,872
1220;333;367;22;39;2,897
1307;332;366;21;39;2,923
1396;;;;;0
1479;;;;;0
1569;333;367;22;40;2,825
1664;332;367;22;42;2,690
1761;334;366;27;37;3,081
1850;;;;;0
1944;;;;;0
2037;;;;;0
2132;;;;;0
2223;;;;;0
2311;;;;;0
2407;;;;;0
2520;293;370;20;44;2,500
2616;289;366;21;56;2,036
2707;280;352;21;32;4,000
2793;;;;;0
2880;269;338;21;31;4,581
2977;264;331;14;33;4,515
3068;259;326;19;31;4,968
3164;256;320;21;33;4,848
3248;252;314;22;31;5,355
3339;247;309;16;31;5,516
3433;246;304;18;30;5,867
3527;242;299;24;33;5,485
3612;242;296;17;28;6,571
3708;237;293;23;31;6,032
3803;239;288;24;31;6,194
3894;239;284;29;34;5,765
3982;240;282;26;34;5,824
4080;240;280;29;35;5,714
4168;242;278;30;35;5,771
4261;;;;;0
4347;248;273;33;34;6,088
4444;250;273;33;32;6,469
4532;253;271;33;33;6,333
4626;257;269;35;30;7,033
4710;261;266;33;31;6,903
4804;265;264;35;32;6,750
4895;271;263;32;31;7,000
4982;276;262;32;31;7,032
5073;281;260;32;30;7,333
5164;;;;;0
5264;;;;;0
5350;;;;;0
5445;;;;;0
5534;300;270;36;35;6,000
5628;302;275;36;34;6,029
5718;304;279;38;35;5,743
5811;309;289;31;34;5,618
5902;309;294;34;33;5,636
5999;310;301;36;35;5,114
6090;314;308;27;35;4,914
6178;310;315;33;35;4,714
6274;311;322;36;39;4,051
6365;311;327;36;32;4,781
6460;312;335;27;35;4,143
6551;315;346;33;41;3,268
6636;;;;;0
6726;;;;;0
6809;;;;;0
6899;;;;;0
6991;;;;;0
7074;;;;;0
7166;;;;;0
7264;318;375;26;41;2,561
7356;;;;;0
7444;;;;;0
7538;;;;;0
7633;;;;;0
7723;;;;;0
7818;;;;;0
7905;;;;;0
8002;;;;;0
8099;;;;;0
8193;;;;;0
8281;;;;;0
