temps_ms;throttle;yaw;pitch;trim;estat
53;21;63;63;63;0
93;22;63;63;63;0
135;23;63;63;63;0
177;23;63;63;63;0
217;24;63;63;63;0
257;25;63;63;63;0
401;28;63;63;63;0
444;29;63;63;63;0
486;30;63;63;63;0
527;31;63;63;63;0
570;32;63;63;63;0
614;33;63;63;63;0
657;34;63;63;63;0
701;35;63;63;63;0
749;36;63;63;63;0
796;37;63;63;63;0
841;38;63;63;63;0
881;39;63;63;63;0
923;40;63;63;63;0
968;41;63;63;63;0
1013;42;63;63;63;0
1061;43;63;63;63;0
1102;44;63;63;63;0
1143;45;63;63;63;0
1186;46;63;63;63;0
1232;47;63;63;63;0
1272;48;63;63;63;0
1313;48;63;63;63;0
1354;49;63;63;63;0
1395;50;63;63;63;0
1440;51;63;63;63;0
1481;52;63;63;63;0
1526;53;63;63;63;0
1566;54;63;63;63;0
1614;55;88;63;63;0
1655;56;88;63;63;0
1697;57;88;63;63;0
1739;58;88;63;63;0
1784;59;88;63;63;0
1829;60;88;63;63;0
1870;61;88;63;63;0
1911;62;88;63;63;0
1955;63;88;63;63;0
1996;63;88;63;63;0
2037;64;88;63;63;0
2082;65;88;63;63;0
2124;66;88;63;63;0
2164;67;88;63;63;0
2205;68;88;63;63;0
2247;69;88;63;63;0
2287;70;88;63;63;0
2330;71;88;63;63;0
2370;72;88;63;63;0
2416;73;63;63;63;0
2458;74;63;63;63;0
2500;75;63;63;63;0
2544;75;63;63;63;0
2585;75;63;63;63;0
2628;75;63;63;63;0
2673;75;63;63;63;0
2715;75;63;63;63;0
2759;75;63;63;63;0
2800;75;63;63;63;0
2842;75;63;63;63;0
2886;75;63;63;63;0
2927;75;63;63;63;0
2968;75;63;63;63;0
3009;75;63;63;63;0
3051;75;63;63;63;0
3094;75;63;63;63;0
3135;75;63;63;63;0
3177;75;63;63;63;0
3218;75;63;63;63;0
3261;75;63;63;63;0
3302;75;63;63;63;0
3344;75;63;63;63;0
3390;75;63;63;63;0
3436;75;63;63;63;0
3480;75;63;63;63;0
3527;75;63;63;63;0
3567;75;63;63;63;0
3607;75;63;63;63;0
3651;75;63;63;63;0
3693;75;63;63;63;0
3736;75;63;63;63;0
3802;75;63;63;63;1
3844;64;63;63;63;1
3888;64;63;63;63;1
3930;64;63;63;63;1
3977;66;63;63;63;1
4021;66;63;63;63;1
4064;67;63;63;63;1
4105;67;63;63;63;1
4189;58;38;63;63;1
4233;60;38;63;63;1
4276;60;38;63;63;1
4324;60;38;63;63;1
4367;60;63;63;63;1
4408;58;63;63;63;1
4452;58;63;63;63;1
4493;54;63;63;63;1
4535;54;63;63;63;1
4579;45;63;63;63;1
4623;45;63;63;63;1
4664;45;63;63;63;1
4705;45;63;63;63;1
4747;45;63;63;63;1
4789;45;63;63;63;1
4830;45;63;63;63;1
4871;45;38;63;63;1
4916;45;38;63;63;1
4958;45;38;63;63;1
4999;45;38;63;63;1
5046;61;38;63;63;2
5086;61;38;63;63;2
5131;60;38;63;63;2
5171;59;38;63;63;2
5217;58;38;63;63;2
5261;58;38;63;63;2
5306;57;38;63;63;2
5352;56;38;63;63;2
5392;56;63;63;63;2
5432;56;63;63;63;2
5474;56;63;63;63;2
5518;56;63;63;63;2
5560;56;63;63;63;2
5602;56;63;63;63;2
5647;56;63;63;63;2
5689;56;63;63;63;2
5733;56;63;63;63;2
5776;56;63;63;63;2
5818;56;63;63;63;2
5861;56;63;63;63;2
5924;56;38;63;63;2
5966;56;38;63;63;2
6007;56;38;63;63;2
6050;56;38;63;63;2
6091;56;38;63;63;2
6131;56;38;63;63;2
6177;56;38;63;63;2
6222;56;38;63;63;2
6264;56;38;63;63;2
6305;56;38;63;63;2
6348;56;38;63;63;2
6412;56;38;63;63;3
6453;73;38;63;63;3
6497;73;38;63;63;3
6541;73;38;63;63;3
6585;73;38;63;63;3
6627;73;38;63;63;3
6668;73;38;63;63;3
6711;73;63;63;63;3
6751;73;63;63;63;3
6792;73;63;63;63;3
6832;73;63;63;63;3
6873;73;63;63;63;3
6919;73;63;63;63;3
6961;73;63;63;63;3
7004;73;63;63;63;3
7050;73;63;63;63;4
7097;0;63;63;63;4
7142;0;63;63;63;4
7209;0;63;63;63;4
7251;0;63;63;63;4
7293;0;63;63;63;4
7334;0;63;63;63;4
7378;0;63;63;63;4
7422;0;63;63;63;4
7466;0;63;63;63;4
7507;0;63;63;63;4
7551;0;63;63;63;4
7593;0;63;63;63;4
7634;0;63;63;63;4
7679;0;63;63;63;4
7719;0;63;63;63;4
7762;0;63;63;63;4
7803;0;63;63;63;4
7843;0;63;63;63;4
7885;0;63;63;63;4
7925;0;63;63;63;4
7967;0;63;63;63;4
8013;0;63;63;63;4
8056;0;63;63;63;4
8105;0;63;63;63;4
8147;0;63;63;63;4
8190;0;63;63;63;4
8231;0;63;63;63;4
8274;0;63;63;63;4
8316;0;63;63;63;4
8361;0;63;63;63;4
8418;0;63;63;63;4
8464;0;63;63;63;4
8507;0;63;63;63;4
8552;0;63;63;63;4
8597;0;63;63;63;4
8641;0;63;63;63;4
8683;0;63;63;63;4
8729;0;63;63;63;4
8770;0;63;63;63;4
8811;0;63;63;63;4
8851;0;63;63;63;4
8896;0;63;63;63;4
8939;0;63;63;63;4
8981;0;63;63;63;4
9022;0;63;63;63;4
9064;0;63;63;63;4
9110;0;63;63;63;4
9156;0;63;63;63;4
9197;0;63;63;63;4
9238;0;63;63;63;4
9278;0;63;63;63;4
9320;0;63;63;63;4
