temps_ms;cx;cy;amplada;alcada;ratio
346;;;;;0
568;;;;;0
682;;;;;0
773;;;;;0
866;;;;;0
956;;;;;0
1046;;;;;0
1134;;;;;0
1222;;;;;0
1318;;;;;0
1411;;;;;0
1500;;;;;0
1589;;;;;0
1677;;;;;0
1763;;;;;0
1854;;;;;0
1980;;;;;0
2067;;;;;0
2160;;;;;0
2249;;;;;0
2328;;;;;0
2417;;;;;0
2507;;;;;0
2588;;;;;0
2680;;;;;0
2766;;;;;0
2860;311;462;27;30;0,600
2952;307;456;41;41;0,585
3041;305;449;38;46;0,674
3129;299;439;27;44;0,932
3218;292;431;21;43;1,140
3336;;;;;0
3423;;;;;0
3504;265;379;29;52;1,942
3583;260;368;28;51;2,196
3666;249;350;27;52;2,500
3757;240;339;31;55;2,564
3848;228;321;27;51;3,118
3931;219;310;27;53;3,208
4022;208;295;29;54;3,426
4111;196;276;29;54;3,778
4197;188;264;31;54;4,000
4290;175;246;30;58;4,034
4376;167;229;32;55;4,564
4458;159;211;26;56;4,804
4550;154;198;29;57;4,947
4666;151;190;27;56;5,179
4755;147;170;32;58;5,345
4844;145;155;35;54;6,019
4930;145;142;39;55;6,145
5022;144;135;45;53;6,509
5111;146;128;49;50;7,040
5193;148;123;55;53;6,736
5278;152;121;66;52;6,904
5365;160;118;67;58;6,241
5456;163;121;65;59;6,085
5547;172;130;69;53;6,604
5632;181;138;66;50;6,840
5716;186;154;67;54;6,037
5801;198;174;76;55;5,564
5893;202;192;78;57;5,053
6062;209;217;80;55;4,782
6153;222;276;93;64;3,188
6244;226;300;95;63;2,857
6328;229;342;99;61;2,262
6414;234;391;93;67;1,328
6499;237;444;102;65;0,554
6586;256;462;44;30;0,600
6675;;;;;0
6758;;;;;0
6842;256;460;68;33;0,606
6925;253;450;104;54;0,556
7015;253;447;103;60;0,550
7099;257;425;107;102;0,539
7193;261;420;99;82;0,732
7279;;;;;0
7422;275;398;85;66;1,242
7522;300;399;42;67;1,209
7620;304;435;45;76;0,592
7719;;;;;0
7809;;;;;0
7896;;;;;0
7985;;;;;0
8072;;;;;0
8157;;;;;0
8248;;;;;0
8336;;;;;0
8426;;;;;0
8516;;;;;0
8603;;;;;0
8693;;;;;0
8887;;;;;0
8981;;;;;0
9067;;;;;0
