temps_ms;cx;cy;amplada;alcada;ratio
243;;;;;0
473;;;;;0
611;;;;;0
735;;;;;0
833;;;;;0
925;;;;;0
1019;;;;;0
1116;;;;;0
1214;;;;;0
1306;;;;;0
1393;;;;;0
1481;;;;;0
1574;;;;;0
1661;;;;;0
1748;;;;;0
1839;;;;;0
1925;;;;;0
2019;;;;;0
2107;;;;;0
2194;;;;;0
2280;;;;;0
2368;;;;;0
2455;;;;;0
2546;;;;;0
2638;;;;;0
2722;;;;;0
2819;;;;;0
2912;336;463;42;29;0,586
3003;334;460;32;33;0,606
3088;333;456;34;42;0,571
3177;336;451;40;48;0,604
3266;334;446;32;48;0,708
3354;327;439;30;44;0,932
3445;327;429;25;42;1,214
3532;327;423;28;37;1,541
3620;321;416;19;36;1,778
3713;321;410;19;39;1,795
3805;319;405;22;38;1,974
3889;316;398;20;38;2,158
3981;311;394;17;35;2,457
4076;;;;;0
4165;;;;;0
4256;289;375;20;46;2,283
4352;282;366;20;42;2,714
4441;275;362;24;39;3,026
4529;269;356;22;45;2,756
4616;263;351;20;46;2,804
4713;253;339;27;45;3,133
4806;252;337;27;43;3,326
4894;248;328;25;44;3,455
4989;241;321;27;42;3,786
5074;241;313;28;46;3,630
5158;239;309;25;42;4,071
5254;238;303;26;45;3,933
5342;239;296;24;41;4,488
5427;240;290;32;44;4,318
5517;241;281;33;47;4,234
5609;242;278;37;46;4,391
5694;246;270;36;41;5,122
5789;251;261;34;44;4,977
5882;252;255;47;46;4,891
5977;257;251;39;42;5,452
6068;259;245;38;43;5,465
6154;264;238;40;46;5,261
6240;268;233;43;46;5,370
6325;270;228;41;42;6,000
6422;275;224;38;43;5,953
6512;273;220;41;48;5,417
6603;275;214;43;45;5,911
6685;276;212;41;45;5,956
6774;274;209;44;50;5,420
6863;273;204;42;48;5,750
6955;271;203;41;47;5,894
7045;267;200;36;51;5,490
7137;261;200;32;56;5,000
7220;255;197;32;54;5,241
7311;244;198;32;53;5,321
7398;238;200;32;60;4,667
7490;226;199;34;59;4,763
7579;214;204;43;59;4,678
7671;201;208;38;59;4,610
7758;187;211;34;61;4,410
7849;169;218;36;57;4,596
7948;152;225;45;60;4,250
8045;145;232;45;60;4,133
8135;131;236;46;55;4,436
8222;120;241;48;57;4,193
8308;111;251;50;59;3,881
8394;107;257;47;54;4,130
8487;103;263;42;56;3,875
8574;102;270;44;57;3,684
8660;100;276;40;62;3,290
8750;101;278;40;54;3,741
8843;102;282;45;54;3,667
8923;105;286;45;55;3,527
9014;108;293;46;54;3,463
9108;110;293;47;58;3,224
9192;113;298;56;54;3,370
9279;122;298;50;56;3,250
9359;124;300;53;62;2,903
9448;130;301;53;58;3,086
9541;134;301;54;59;3,034
9627;135;301;55;61;2,934
9714;142;300;58;64;2,812
9813;142;297;57;66;2,773
9904;143;296;58;65;2,831
9989;139;294;64;68;2,735
10078;137;287;62;80;2,413
10161;132;287;69;72;2,681
10246;128;282;62;72;2,750
10333;117;276;67;76;2,684
10420;112;275;65;79;2,595
10506;109;271;58;80;2,612
10593;102;262;45;82;2,659
10684;97;255;34;100;2,250
10774;93;252;26;82;2,780
10855;;;;;0
10941;;;;;0
11029;;;;;0
11127;;;;;0
11219;;;;;0
11298;;;;;0
11386;;;;;0
11480;;;;;0
11573;;;;;0
11660;;;;;0
11754;;;;;0
11841;;;;;0
11928;;;;;0
12019;;;;;0
12109;;;;;0
12195;;;;;0
12283;;;;;0
12382;;;;;0
12472;;;;;0
12555;92;206;24;118;2,322
12647;99;185;40;160;1,844
12746;106;190;52;124;2,339
12842;110;186;62;112;2,625
12930;115;171;70;126;2,452
13023;122;159;85;113;2,841
13114;129;134;96;130;2,662
13203;129;130;97;125;2,800
13291;134;117;108;139;2,612
13383;136;93;112;168;2,304
13475;137;71;114;134;3,052
13563;136;66;112;119;3,479
13655;139;51;118;100;4,290
13745;136;46;112;91;4,769
13838;139;43;119;84;5,202
13926;141;48;122;94;4,596
14032;141;53;123;103;4,146
14123;151;76;144;141;2,865
14213;159;98;168;192;1,990
14304;179;151;198;209;1,574
14393;194;201;232;223;1,251
14487;242;296;268;260;0,708
14579;;;;;0
14674;;;;;0
14765;;;;;0
14864;;;;;0
14959;;;;;0
15052;;;;;0
15146;;;;;0
15241;;;;;0
15328;;;;;0
15420;;;;;0
15513;;;;;0
15608;;;;;0
15694;;;;;0
15785;;;;;0
15878;;;;;0
15971;;;;;0
16059;;;;;0
16149;;;;;0
16239;;;;;0
16325;;;;;0
16419;;;;;0
16507;;;;;0
16598;;;;;0
16684;;;;;0
16779;;;;;0
16874;;;;;0
16960;;;;;0
17050;;;;;0
17145;;;;;0
17237;;;;;0
