temps_ms;throttle;yaw;pitch;trim;estat
49;21;64;64;63;0
180;24;64;64;63;0
223;25;64;64;63;0
273;27;64;64;63;0
326;28;64;64;63;0
373;29;64;64;63;0
419;31;64;64;63;0
463;32;64;64;63;0
506;33;64;64;63;0
548;34;64;64;63;0
590;35;64;64;63;0
632;36;64;64;63;0
677;37;64;64;63;0
724;39;64;64;63;0
767;40;64;64;63;0
812;41;64;64;63;0
856;42;64;64;63;0
900;43;64;64;63;0
943;45;64;64;63;0
985;46;64;64;63;0
1028;47;64;64;63;0
1073;48;64;64;63;0
1118;49;64;64;63;0
1158;50;64;64;63;0
1200;51;64;64;63;0
1242;52;64;64;63;0
1284;54;64;64;63;0
1327;55;64;64;63;0
1368;56;64;64;63;0
1409;57;64;64;63;0
1452;58;64;64;63;0
1495;59;64;64;63;0
1539;60;64;64;63;0
1583;61;64;64;63;0
1627;63;64;64;63;0
1671;64;64;64;63;0
1712;65;64;64;63;0
1755;66;64;64;63;0
1798;67;64;64;63;0
1843;68;64;64;63;0
1884;69;64;64;63;0
1930;71;64;64;63;0
1973;72;64;64;63;0
2014;73;64;64;63;0
2054;73;64;64;63;0
2095;73;64;64;63;0
2140;73;64;64;63;0
2184;73;64;64;63;0
2229;73;64;64;63;0
2274;73;64;64;63;0
2317;73;64;64;63;0
2363;73;64;64;63;0
2407;73;64;64;63;0
2453;73;64;64;63;0
2498;73;64;64;63;0
2541;73;64;64;63;0
2583;73;64;64;63;0
2624;73;64;64;63;0
2667;73;64;64;63;0
2713;73;64;64;63;0
2754;73;64;64;63;0
2795;73;64;64;63;0
2837;73;64;64;63;0
2879;73;64;64;63;0
2923;73;64;64;63;0
2970;73;64;64;63;0
3011;73;64;64;63;0
3056;73;64;64;63;0
3099;73;64;64;63;0
3142;73;64;64;63;0
3183;73;64;64;63;0
3226;73;64;64;63;0
3267;73;64;64;63;0
3310;73;64;64;63;0
3353;73;64;64;63;0
3394;73;64;64;63;0
3436;73;64;64;63;0
3478;73;64;64;63;0
3520;73;64;64;63;0
3564;73;64;64;63;0
3604;73;64;64;63;0
3649;73;64;64;63;0
3694;73;64;64;63;0
3738;73;64;64;63;0
3778;73;64;64;63;0
3821;73;64;64;63;0
3863;73;64;64;63;0
3909;73;64;64;63;0
3954;73;64;64;63;0
3996;73;64;64;63;0
4037;73;64;64;63;0
4107;73;84;64;63;0
4148;73;84;64;63;0
4193;73;84;64;63;0
4233;73;84;64;63;0
4279;73;64;64;63;0
4324;73;64;64;63;0
4366;73;64;64;63;0
4412;73;64;64;63;0
4456;73;64;64;63;0
4500;73;64;64;63;0
4543;73;64;64;63;0
4624;73;84;64;63;0
4667;73;84;64;63;0
4712;73;84;64;63;0
4754;73;84;64;63;0
4796;73;64;64;63;0
4838;73;64;64;63;0
4883;73;64;64;63;0
4941;73;64;64;63;1
4982;70;64;64;63;1
5028;69;64;64;63;1
5086;69;84;64;63;1
5126;69;84;64;63;1
5169;69;84;64;63;1
5211;69;84;64;63;1
5253;69;84;64;63;1
5295;68;64;64;63;1
5336;68;64;64;63;1
5378;69;64;64;63;1
5420;69;64;64;63;1
5462;67;64;64;63;1
5504;67;64;64;63;1
5547;67;64;64;63;1
5600;67;44;64;63;1
5641;66;44;64;63;1
5683;66;44;64;63;1
5724;67;44;64;63;1
5767;67;44;64;63;1
5808;68;64;64;63;1
5851;68;64;64;63;1
5894;66;64;64;63;1
5941;66;64;64;63;1
5984;66;64;64;63;1
6026;66;64;64;63;1
6071;68;64;64;63;1
6124;68;44;64;63;1
