temps_ms;cx;cy;amplada;alcada
1488;308;418;152;121
1781;309;418;152;120
1896;310;418;152;120
2009;309;417;152;122
2113;311;418;148;122
2228;307;418;158;121
2372;309;418;154;120
2491;311;418;149;119
2603;313;418;145;120
2712;309;419;149;120
2808;306;418;159;121
2914;309;417;151;121
3014;312;417;148;121
3113;316;418;142;122
3216;306;418;159;119
3309;315;418;141;124
3507;311;417;147;123
3606;313;418;146;120
3708;310;418;150;120
3804;312;417;150;122
3902;309;418;151;119
4005;307;418;153;119
4098;316;418;140;121
4201;312;418;147;119
4295;316;418;142;122
4389;311;418;147;120
4487;309;418;154;119
4594;310;417;150;121
4688;312;418;145;120
4785;316;417;142;123
4877;310;417;151;121
5002;311;419;147;120
5093;311;417;151;122
5188;309;418;152;120
5279;312;418;147;119
5368;311;418;148;121
5464;315;418;141;122
5561;312;417;147;122
5661;309;417;153;121
5764;311;418;149;120
5861;307;418;157;119
5955;311;419;150;120
6051;311;418;148;120
6151;311;418;149;119
6246;316;418;142;120
6330;312;418;147;120
6464;312;417;147;121
6565;310;418;152;122
6668;312;417;155;119
6765;311;418;150;120
6868;310;417;151;121
6973;310;418;152;120
7070;311;418;148;120
7163;309;418;151;120
7261;311;417;150;121
7364;307;419;154;120
7462;310;417;152;122
7564;314;416;148;124
7661;318;418;139;120
7758;312;417;148;121
7932;311;418;148;119
8077;308;417;153;123
8192;311;417;152;121
8342;315;417;141;123
8505;310;418;151;120
8651;315;418;141;121
8801;315;418;141;122
8941;317;418;140;122
9058;309;418;151;119
9185;308;418;155;122
9298;309;417;152;121
9405;311;417;150;122
9515;;;;
9624;317;418;137;122
9728;317;417;142;124
9827;307;417;158;123
9972;311;417;154;121
10078;308;416;155;123
10178;315;416;142;123
10283;310;418;153;120
10393;312;417;148;123
10491;325;418;124;122
10598;317;417;139;124
10707;314;416;144;123
10809;320;417;134;122
10910;321;417;131;124
11014;315;417;145;122
11121;312;417;147;122
11225;313;416;147;124
11325;317;416;140;123
11433;317;417;140;124
11565;318;417;139;122
11666;313;417;145;123
11776;316;417;141;123
11882;317;417;138;124
11981;;;;
12078;;;;
12179;;;;
12275;;;;
12379;;;;
12486;;;;
12594;;;;
12691;337;421;62;114
12800;305;418;167;122
12907;311;417;148;123
13007;294;419;181;122
13135;297;418;176;119
13234;301;418;171;122
13335;321;418;136;120
13433;308;419;155;120
13534;309;419;152;119
13640;299;418;174;121
13742;302;422;157;114
13846;301;420;170;120
13949;322;418;130;120
14056;313;418;148;119
14161;318;420;137;118
14261;318;419;136;120
14443;316;418;142;120
14597;315;418;143;120
14732;317;418;139;119
14896;317;418;140;122
15014;306;418;159;117
15119;310;419;153;118
15230;317;418;140;120
15327;310;418;155;119
15430;319;418;137;120
15529;318;417;138;121
15635;311;417;156;121
15740;315;418;141;120
15841;310;418;155;118
15948;310;418;155;119
16051;310;418;158;119
16163;306;419;166;118
16263;307;419;160;118
16371;307;419;161;118
16497;317;418;142;119
16595;315;418;144;122
16696;318;418;137;122
16795;318;418;138;121
16900;317;418;141;120
17000;317;418;139;120
17107;319;418;135;120
17211;318;418;139;120
17307;318;417;137;123
17409;319;417;138;122
17508;321;418;132;120
17606;307;418;162;119
17713;318;418;140;120
17814;317;418;140;120
17915;318;418;138;121
18052;317;418;140;122
18159;318;418;136;119
18256;320;418;133;120
18359;309;418;158;120
18460;303;418;167;119
18564;317;418;140;120
18660;318;417;140;121
18757;319;419;136;118
18857;317;418;141;120
18958;321;417;132;121
19060;316;418;141;120
19159;319;418;136;120
19260;318;418;138;119
19361;314;418;153;118
19461;341;409;94;136
19592;;;;
