TEMPS;THROTTLE;YAW;PITCH;TRIM
218;0;62;63;63
267;0;62;63;63
318;0;62;63;63
369;0;62;63;63
419;0;62;63;63
469;0;62;63;63
521;0;62;63;63
574;0;62;63;63
623;0;62;63;63
673;0;62;63;63
724;0;62;63;63
774;0;62;63;63
825;0;62;63;63
875;0;62;63;63
927;0;62;63;63
979;0;62;63;63
1029;0;62;63;63
1079;0;62;63;63
1130;0;62;63;63
1181;0;62;63;63
1231;0;62;63;63
1281;0;62;63;63
1333;0;62;63;63
1382;0;62;63;63
1433;0;62;63;63
1483;0;62;63;63
1533;0;62;63;63
1583;0;62;63;63
1635;0;62;63;63
1685;0;62;63;63
1735;0;62;63;63
1785;0;62;63;63
1837;0;62;63;63
1888;0;62;63;63
1939;0;62;63;63
1989;0;62;63;63
2039;0;62;63;63
2091;0;62;63;63
2141;0;62;63;63
2191;0;62;63;63
2241;0;62;63;63
2291;0;62;63;63
2343;0;62;63;63
2395;0;62;63;63
2445;0;62;63;63
2496;0;62;63;63
2546;0;62;63;63
2595;0;62;63;63
2645;0;62;63;63
2696;0;62;63;63
2745;0;62;63;63
2795;0;62;63;63
2845;0;62;63;63
2895;0;62;63;63
2947;0;62;63;63
2997;0;62;63;63
3047;0;62;63;63
3097;0;62;63;63
3149;0;62;63;63
3199;0;62;63;63
3249;0;62;63;63
3301;0;62;63;63
3351;0;62;63;63
3403;0;62;63;63
3453;0;62;63;63
3503;0;62;63;63
3554;0;62;63;63
3605;0;62;63;63
3655;0;62;63;63
3706;0;62;63;63
3757;0;62;63;63
3810;0;62;63;63
3859;0;62;63;63
3911;0;62;63;63
3961;0;62;63;63
4013;0;62;63;63
4063;0;62;63;63
4113;0;62;63;63
4163;0;62;63;63
4215;0;62;63;63
4265;0;62;63;63
4314;0;62;63;63
4365;0;62;63;63
4415;0;62;63;63
4465;0;62;63;63
4516;0;62;63;63
4567;0;62;63;63
4617;0;62;63;63
4667;0;62;63;63
4717;0;62;63;63
4767;0;62;63;63
4817;0;62;63;63
4869;0;62;63;63
4920;0;62;63;63
4969;0;62;63;63
5019;0;62;63;63
5069;0;62;63;63
5120;0;62;63;63
5169;0;62;63;63
5219;0;62;63;63
5269;0;62;63;63
5321;0;62;63;63
5371;0;62;63;63
5421;0;62;63;63
5472;0;62;63;63
5521;0;62;63;63
5571;0;62;63;63
5623;0;62;63;63
5673;0;62;63;63
5725;0;62;63;63
5776;0;62;63;63
5827;0;62;63;63
5877;0;62;63;63
5927;0;62;63;63
5977;0;62;63;63
6027;0;62;63;63
6077;0;62;63;63
6127;0;62;63;63
6179;0;62;63;63
6229;0;62;63;63
6281;0;62;63;63
6331;0;62;63;63
6382;0;62;63;63
6432;0;62;63;63
6483;0;62;63;63
6535;0;62;63;63
6584;0;62;63;63
6634;0;62;63;63
6685;0;62;63;63
6736;0;62;63;63
6785;0;62;63;63
6835;0;62;63;63
6887;0;62;63;63
6937;0;62;63;63
6987;0;62;63;63
7040;0;62;63;63
7089;0;62;63;63
7139;0;62;63;63
7189;0;62;63;63
7241;0;62;63;63
7293;0;62;63;63
7343;0;62;63;63
7393;0;62;63;63
7445;0;62;63;63
7496;0;62;63;63
7545;0;62;63;63
7595;0;62;63;63
7645;0;62;63;63
7696;0;62;63;63
7745;0;62;63;63
7796;0;62;63;63
7845;0;62;63;63
7895;0;62;63;63
7945;0;62;63;63
7995;0;62;63;63
8045;0;62;63;63
8097;0;62;63;63
8147;1;62;63;63
8201;2;62;63;63
8251;3;62;63;63
8301;7;62;63;63
8353;11;62;63;63
8403;16;62;63;63
8455;20;62;63;63
8505;25;62;63;63
8555;29;62;63;63
8610;34;62;63;63
8661;39;62;63;63
8711;43;62;63;63
8761;48;62;63;63
8811;52;62;63;63
8862;57;62;63;63
8913;61;62;63;63
8965;61;62;63;63
9015;61;62;63;63
9065;61;62;63;63
9115;61;62;63;63
9165;61;62;63;63
9215;60;62;63;63
9265;60;62;63;63
9315;60;62;63;63
9365;60;62;63;63
9415;60;62;63;63
9465;60;62;63;63
9515;60;62;63;63
9565;60;62;63;63
9617;60;62;63;63
9667;60;62;63;63
9717;59;62;63;63
9767;59;62;63;63
9817;59;62;63;63
9867;59;62;63;63
9917;59;62;63;63
9967;59;62;63;63
10017;59;62;63;63
10067;60;62;63;63
10117;65;62;63;63
10167;71;62;63;63
10217;72;62;63;63
10267;72;62;63;63
10317;72;62;63;63
10367;73;62;63;63
10417;73;62;63;63
10467;73;62;63;63
10517;73;62;63;63
10567;74;62;63;63
10617;74;62;63;63
10667;74;62;63;63
10717;74;62;63;63
10767;75;62;63;63
10817;75;62;63;63
10867;75;62;63;63
10918;75;62;63;63
10968;76;64;63;63
11019;76;73;60;63
11069;76;114;59;63
11119;76;114;56;63
11169;77;114;52;63
11219;77;92;39;63
11269;77;62;63;63
11319;77;62;63;63
11369;78;62;63;63
11419;78;62;63;63
11469;78;62;63;63
11519;78;62;63;63
11569;79;62;63;63
11619;79;62;63;63
11669;79;62;63;63
11719;79;62;63;63
11769;80;62;63;63
11819;80;62;63;63
11869;80;62;63;63
11920;80;62;63;63
11969;81;62;63;63
12019;81;63;63;63
12069;81;62;63;63
12119;81;62;63;63
12169;82;62;63;63
12219;82;62;63;63
12269;82;62;63;63
12320;82;62;63;63
12369;80;62;63;63
12419;76;62;63;63
12469;71;62;63;63
12519;65;62;63;63
12569;63;62;63;63
12623;63;62;63;63
12673;62;62;63;63
12723;62;62;63;63
12773;61;62;63;63
12823;61;62;63;63
12873;60;62;63;63
12923;60;62;63;63
12973;59;62;63;63
13024;59;62;63;63
13074;59;62;63;63
13124;64;62;63;63
13175;69;62;63;63
13225;70;62;63;63
13275;70;62;63;63
13325;70;63;63;63
13376;70;62;63;63
13426;71;62;63;63
13475;71;62;63;63
13525;71;62;63;63
13575;71;62;63;63
13626;72;62;63;63
13675;72;62;63;63
13725;72;62;63;63
13776;72;62;63;63
13825;73;62;63;63
13875;73;62;63;63
13925;73;62;63;63
13975;73;62;63;63
14025;74;62;63;63
14075;74;62;63;63
14128;74;62;63;63
14179;74;62;63;63
14233;75;62;63;63
14283;75;62;63;63
14333;75;62;63;63
14383;75;62;63;63
14433;76;62;63;63
14483;76;62;63;63
14533;76;62;63;63
14583;76;62;63;63
14633;77;62;63;63
14683;77;63;63;63
14733;77;62;63;63
14783;77;62;63;63
14833;78;62;63;63
14883;78;62;63;63
14933;78;62;63;63
14983;78;62;63;63
15033;76;62;63;63
15083;71;62;63;63
15133;67;62;63;63
15183;66;62;63;63
15233;66;62;63;63
15283;65;62;63;63
15333;65;62;63;63
15383;64;62;63;63
15433;64;62;63;63
15483;63;62;63;63
15533;63;62;63;63
15584;62;62;63;63
15634;62;62;63;63
15684;61;62;63;63
15735;61;62;63;63
15785;60;62;63;63
15835;60;62;63;63
15885;59;62;63;63
15935;59;62;63;63
15985;58;62;63;63
16035;58;62;63;63
16085;57;62;63;63
16135;57;62;63;63
16185;60;62;63;63
16235;62;62;63;63
16285;64;62;63;63
16335;64;62;63;63
16386;65;62;63;63
16435;65;62;63;63
16486;65;72;61;63
16537;65;114;52;63
16588;66;114;48;63
16638;66;114;47;63
16687;66;113;38;63
16737;66;77;40;63
16787;67;62;62;63
16837;76;62;62;63
16887;88;62;62;63
16937;88;62;62;63
16987;88;62;62;63
17037;88;62;62;63
17088;88;62;62;63
17138;88;62;62;63
17188;88;62;62;63
17237;88;62;62;63
17287;88;62;63;63
17337;88;62;62;63
17387;88;62;62;63
17437;88;62;62;63
17488;88;62;62;63
17539;83;62;62;63
17589;67;62;62;63
17639;59;62;62;63
17689;59;62;63;63
17739;58;62;62;63
17790;58;62;62;63
17843;58;62;62;63
17893;58;62;62;63
17943;58;62;62;63
17993;58;62;62;63
18043;58;62;62;63
18093;58;62;62;63
18146;57;62;62;63
18197;57;62;62;63
18247;57;62;62;63
18297;56;62;62;63
18347;44;62;62;63
18397;28;62;62;63
18448;12;62;62;63
18497;0;62;62;63
18547;0;62;62;63
18597;0;62;62;63
18647;0;62;62;63
18705;0;62;62;63
18756;0;62;62;63
18805;0;62;62;63
18855;0;62;62;63
18905;0;62;62;63
18955;0;62;62;63
19009;0;62;62;63
19060;0;62;62;63
19112;0;62;62;63
19161;0;62;62;63
19214;0;62;62;63
19271;0;62;62;63
19323;0;62;62;63
19373;0;62;62;63
19424;0;62;63;63
19474;0;62;63;63
19523;0;62;62;63
19583;0;62;62;63
19633;0;62;62;63
19690;0;62;62;63
19746;0;62;62;63
19801;0;62;62;63
19854;0;62;62;63
19906;0;62;62;63
19960;0;62;62;63
20010;0;62;63;63
20063;0;62;62;63
20114;0;62;62;63
20164;0;62;62;63
20215;0;62;62;63
20265;0;62;62;63
20316;0;62;62;63
20368;0;62;62;63
20418;0;62;62;63
20469;0;62;62;63
20522;0;62;62;63
20571;0;62;62;63
20621;0;62;62;63
20672;0;62;62;63
20721;0;62;62;63
20771;0;62;63;63
20823;0;62;62;63
20876;0;62;62;63
20925;0;62;62;63
20976;0;62;62;63
21025;0;62;62;63
21076;0;62;62;63
21126;0;62;62;63
21177;0;62;62;63
21228;0;62;62;63
21280;0;62;62;63
21332;0;62;62;63
21381;0;62;62;63
21432;0;62;62;63
21481;0;62;62;63
21531;0;62;62;63
21582;0;62;62;63
21633;0;62;62;63
21684;0;62;62;63
21733;0;62;62;63
